algo,algo_label,seed,env_step,train_iter,eval_points,latest_eval_return,latest_tail_mean_target_distance,latest_tail_mean_target_distance_display,latest_mean_tracking_error,latest_mean_tracking_error_display,latest_mean_target_lost,latest_mean_action_saturation_rate,last20_mean_eval_return,last20_mean_tail_mean_target_distance,last20_mean_tail_mean_target_distance_display,last20_mean_mean_tracking_error,last20_mean_mean_tracking_error_display,last20_mean_mean_target_lost,last20_mean_mean_action_saturation_rate,last20_mean_mean_control_cost,last20_mean_mean_tracking_reward,last20_mean_mean_semantic_reward,auc_eval_return,auc_tracking_error,steps_to_tracking_error_0p05,steps_to_lost_rate_0p05,run_dir,finish_time
matd3,MATD3,1,2002000,24900,996,-92.27036292850971,1.1292829341230637,1.1292829341230637,0.9758700002315505,0.9758700002315505,0.91,0.0,-45.642191520809426,0.9320409981656852,0.9320409981656852,0.8454248402118134,0.8454248402118134,0.7300275,0.0,0.02300062286306202,0.05497787404873252,-0.014245713632790515,56.057413799363154,0.5580221074917097,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/matd3/seed_1/tmc_hard_2e6_main-hard,Mon May 11 09:50:41 2026
matd3,MATD3,2,2002000,24900,996,79.9268760047853,0.5359170620448058,0.5359170620448058,0.4384378230424488,0.4384378230424488,0.1135,0.0,77.11138834482321,0.5468552940540989,0.5468552940540989,0.46459033003670425,0.46459033003670425,0.18997499999999998,0.0,0.03170768214051972,0.19967607252228325,0.020522209628847238,96.26282862638412,0.4272524188825168,nan,225124.49799196786,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/matd3/seed_2/tmc_hard_2e6_main-hard,Mon May 11 17:13:59 2026
happo,HAPPO,0,2000000,80000,500,121.41526494547725,0.2635030279552978,0.2635030279552978,0.35300712282122404,0.35300712282122404,0.0835,0.0017499999999999994,33.39201477400697,0.738515701553453,0.738515701553453,0.6078256154267855,0.6078256154267855,0.35425500000000004,0.003015,0.047241870295668516,0.14908485879662067,-0.0010084844880456677,-30.346699634407415,0.8445586121046857,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/happo/seed_0/tmc_hard_2e6_main-hard,Sun May 10 19:42:37 2026
happo,HAPPO,1,2000000,80000,500,14.737881628796458,0.8827539312358019,0.8827539312358019,0.7434607416182403,0.7434607416182403,0.455,0.008333333333333333,-4.896385731592309,0.8489363652656171,0.8489363652656171,0.7373805371785841,0.7373805371785841,0.503795,0.008081666666666666,0.06099561190789667,0.11766144771226837,-0.011793035107053186,-23.908593239409008,0.8256223164393758,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/happo/seed_1/tmc_hard_2e6_main-hard,Mon May 11 01:05:15 2026
happo,HAPPO,2,2000000,80000,500,6.6909314235672355,1.0720806710003883,1.0720806710003883,0.7097339584999021,0.7097339584999021,0.402,0.013500000000000015,-12.147323829777307,0.9732262459829916,0.9732262459829916,0.7892551821041631,0.7892551821041631,0.484225,0.023218333333333327,0.09327147743160469,0.10129252851020473,-0.02421317724718597,-46.96476016876992,0.9079003184459362,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/happo/seed_2/tmc_hard_2e6_main-hard,Mon May 11 05:54:33 2026
madqn,MADQN,0,2000000,5000,500,-30.693355280905962,1.0855949344324416,1.0855949344324416,0.7636148506352498,0.7636148506352498,0.5475,0.0,-7.745133611245547,0.9012135531638392,0.9012135531638392,0.7105082808186564,0.7105082808186564,0.5176399999999999,0.0,0.017881003810523724,0.09839005438011457,-0.013435475973471604,-12.328505412419153,0.7258479924339503,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/madqn/seed_0/tmc_hard_2e6_main-hard,Sun May 10 15:56:43 2026
madqn,MADQN,1,2000000,5000,500,24.190410253126174,0.5204985429617497,0.5204985429617497,0.5938367076667387,0.5938367076667387,0.3465,0.0,-51.83127248842094,0.9307782802795731,0.9307782802795731,0.8074721504086466,0.8074721504086466,0.70882,0.0,0.015239481565257776,0.04640256875418281,-0.025017425478616784,-59.90512299570854,0.8600611338587787,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/madqn/seed_1/tmc_hard_2e6_main-hard,Sun May 10 21:30:05 2026
madqn,MADQN,2,2000000,5000,500,-40.30780435865745,0.8359014066115757,0.8359014066115757,0.8591516034678603,0.8591516034678603,0.588,0.0,-22.071340169362376,0.9438648360013886,0.9438648360013886,0.7906336226689956,0.7906336226689956,0.562185,0.0,0.014039867420782963,0.0792116489492127,-0.02393096054754169,-36.29974170423386,0.8613793121923288,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/madqn/seed_2/tmc_hard_2e6_main-hard,Mon May 11 02:32:42 2026
masac,MASAC,0,2002000,24900,996,-68.51197414658964,1.180690738546531,1.180690738546531,0.9335012316496256,0.9335012316496256,0.786,0.0,-67.19129283536822,1.1812733702264688,1.1812733702264688,0.9943775004536423,0.9943775004536423,0.781845,0.0,0.014952421913094538,0.029493282471609854,-0.03194842361533624,-63.60717867786949,0.9824765657561789,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/masac/seed_0/tmc_hard_2e6_main-hard,Mon May 11 01:55:17 2026
masac,MASAC,1,2002000,24900,996,18.284059459343553,0.9422695473821734,0.9422695473821734,0.5938896593472176,0.5938896593472176,0.3815,0.0,-70.93063845738972,1.1600394503646447,1.1600394503646447,1.0276977843250048,1.0276977843250048,0.8084950000000001,0.0,0.016056498246164477,0.024511993358719026,-0.03460523572337334,-61.232231275729646,0.9617979204711008,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/masac/seed_1/tmc_hard_2e6_main-hard,Mon May 11 09:46:43 2026
masac,MASAC,2,2002000,24900,996,-81.84189480019268,1.4175131656291762,1.4175131656291762,1.0952676747673358,1.0952676747673358,0.867,0.0,-73.58880792705284,1.3043610894534898,1.3043610894534898,1.0645043549404527,1.0645043549404527,0.8133375,0.0,0.014834624960448082,0.016478165758750173,-0.04379518084542407,-66.47710428077416,1.00738137520715,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/hard_4auv/auv6dof/masac/seed_2/tmc_hard_2e6_main-hard,Mon May 11 16:51:00 2026
